iter	Passed	Remaining
0	155	155524
1	157	78742
2	160	53188
3	162	40362
4	164	32765
5	166	27607
6	168	23949
7	171	21204
8	172	19046
9	175	17340
10	177	15950
11	179	14782
12	181	13805
13	183	12945
14	185	12199
15	187	11561
16	190	11000
17	192	10495
18	194	10045
19	196	9635
20	198	9263
21	200	8929
22	202	8617
23	204	8330
24	207	8082
25	209	7842
26	211	7622
27	213	7424
28	216	7235
29	218	7055
30	220	6888
31	222	6730
32	224	6588
33	226	6445
34	228	6311
35	231	6189
36	233	6067
37	235	5956
38	237	5846
39	239	5736
40	240	5632
41	242	5535
42	244	5437
43	245	5337
44	247	5244
45	248	5155
46	250	5071
47	251	4988
48	252	4909
49	254	4844
50	256	4777
51	258	4715
52	260	4648
53	261	4581
54	262	4515
55	263	4449
56	265	4385
57	266	4325
58	268	4276
59	269	4222
60	271	4174
61	272	4127
62	274	4077
63	275	4026
64	276	3977
65	277	3929
66	278	3880
67	279	3826
68	280	3781
69	281	3743
70	283	3709
71	284	3669
72	285	3629
73	287	3592
74	288	3555
75	289	3520
76	290	3485
77	291	3449
78	293	3416
79	294	3381
80	295	3348
81	296	3321
82	298	3298
83	299	3267
84	300	3234
85	301	3206
86	302	3174
87	303	3148
88	305	3122
89	306	3096
90	307	3070
91	308	3044
92	309	3020
93	311	3003
94	312	2981
95	314	2958
96	315	2939
97	316	2917
98	318	2895
99	319	2876
100	320	2856
101	321	2831
102	322	2810
103	324	2792
104	325	2775
105	327	2759
106	328	2744
107	330	2726
108	331	2707
109	332	2689
110	333	2670
111	334	2652
112	335	2635
113	336	2616
114	337	2599
115	339	2584
116	340	2573
117	342	2561
118	343	2544
119	344	2529
120	346	2514
121	347	2499
122	348	2481
123	349	2467
124	350	2454
125	351	2440
126	353	2428
127	354	2416
128	356	2408
129	357	2394
130	359	2381
131	360	2368
132	361	2355
133	362	2342
134	363	2330
135	364	2317
136	366	2306
137	367	2292
138	368	2281
139	370	2275
140	371	2265
141	373	2255
142	375	2247
143	376	2238
144	378	2230
145	380	2224
146	381	2216
147	384	2215
148	388	2221
149	391	2220
150	393	2211
151	395	2204
152	396	2196
153	398	2189
154	401	2187
155	402	2177
156	403	2168
157	405	2159
158	406	2150
159	407	2141
160	409	2132
161	410	2124
162	411	2115
163	414	2113
164	416	2108
165	417	2099
166	419	2092
167	420	2084
168	422	2076
169	423	2067
170	425	2061
171	426	2054
172	428	2046
173	430	2045
174	432	2037
175	433	2030
176	435	2022
177	436	2015
178	437	2008
179	439	2001
180	440	1991
181	441	1983
182	443	1980
183	445	1977
184	448	1974
185	450	1969
186	452	1968
187	454	1962
188	455	1955
189	458	1952
190	459	1947
191	462	1944
192	463	1938
193	465	1933
194	466	1927
195	468	1921
196	469	1915
197	471	1908
198	472	1902
199	474	1897
200	475	1891
201	477	1885
202	478	1879
203	479	1872
204	481	1868
205	483	1861
206	484	1855
207	485	1849
208	487	1844
209	490	1843
210	491	1837
211	492	1832
212	494	1826
213	495	1820
214	497	1814
215	498	1809
216	499	1803
217	501	1798
218	503	1794
219	505	1793
220	507	1788
221	508	1782
222	510	1777
223	511	1771
224	512	1765
225	514	1760
226	515	1756
227	517	1752
228	519	1749
229	522	1750
230	524	1745
231	525	1741
232	527	1735
233	528	1729
234	529	1724
235	533	1727
236	535	1725
237	538	1724
238	540	1720
239	541	1715
240	543	1710
241	544	1705
242	546	1701
243	548	1700
244	552	1701
245	553	1696
246	554	1691
247	555	1685
248	557	1680
249	558	1674
250	559	1669
251	560	1663
252	562	1659
253	564	1656
254	565	1652
255	567	1649
256	568	1644
257	570	1640
258	571	1635
259	573	1631
260	574	1626
261	575	1621
262	577	1618
263	579	1615
264	581	1612
265	583	1609
266	584	1605
267	586	1601
268	587	1596
269	588	1592
270	590	1587
271	592	1587
272	594	1582
273	595	1578
274	597	1574
275	598	1569
276	599	1565
277	601	1561
278	602	1557
279	604	1553
280	605	1550
281	607	1546
282	609	1543
283	610	1540
284	612	1536
285	613	1532
286	614	1527
287	616	1523
288	617	1519
289	618	1514
290	619	1510
291	621	1507
292	623	1504
293	624	1499
294	625	1495
295	627	1491
296	628	1487
297	629	1482
298	630	1478
299	631	1474
300	633	1470
301	634	1466
302	636	1463
303	637	1460
304	639	1456
305	640	1452
306	641	1448
307	643	1444
308	644	1440
309	645	1436
310	646	1432
311	648	1429
312	649	1425
313	651	1422
314	652	1419
315	653	1415
316	655	1411
317	656	1407
318	657	1404
319	659	1400
320	660	1396
321	661	1392
322	662	1389
323	664	1385
324	665	1382
325	666	1378
326	668	1375
327	669	1371
328	670	1367
329	671	1363
330	673	1360
331	674	1356
332	675	1353
333	676	1349
334	678	1346
335	679	1342
336	680	1339
337	681	1335
338	683	1332
339	684	1328
340	685	1325
341	686	1321
342	688	1318
343	689	1314
344	690	1310
345	691	1307
346	693	1304
347	694	1301
348	695	1297
349	696	1294
350	698	1290
351	699	1287
352	700	1284
353	701	1280
354	703	1277
355	704	1274
356	705	1271
357	707	1268
358	708	1265
359	709	1261
360	711	1258
361	712	1255
362	713	1252
363	714	1249
364	716	1245
365	717	1242
366	718	1239
367	720	1237
368	721	1234
369	722	1231
370	724	1227
371	725	1224
372	726	1221
373	728	1218
374	729	1215
375	730	1212
376	731	1209
377	733	1207
378	734	1203
379	736	1201
380	737	1198
381	738	1195
382	740	1192
383	741	1189
384	743	1187
385	744	1184
386	746	1182
387	748	1179
388	749	1176
389	750	1173
390	751	1170
391	752	1167
392	754	1164
393	755	1161
394	756	1158
395	758	1156
396	759	1153
397	760	1150
398	761	1147
399	763	1145
400	764	1142
401	765	1139
402	767	1136
403	768	1134
404	770	1131
405	771	1128
406	772	1125
407	773	1122
408	775	1120
409	776	1117
410	777	1114
411	779	1112
412	780	1109
413	781	1106
414	783	1104
415	784	1101
416	785	1098
417	787	1095
418	788	1092
419	789	1090
420	790	1087
421	792	1085
422	793	1082
423	795	1080
424	796	1077
425	798	1075
426	800	1074
427	802	1071
428	803	1069
429	804	1066
430	805	1063
431	806	1061
432	808	1058
433	809	1055
434	810	1053
435	812	1050
436	813	1048
437	814	1045
438	816	1043
439	818	1041
440	820	1040
441	822	1038
442	824	1036
443	825	1034
444	827	1031
445	828	1029
446	830	1026
447	831	1024
448	832	1021
449	834	1019
450	835	1016
451	836	1014
452	838	1012
453	839	1009
454	840	1007
455	842	1004
456	843	1002
457	844	999
458	846	997
459	847	994
460	849	992
461	850	990
462	852	988
463	853	986
464	855	983
465	856	981
466	858	979
467	859	977
468	861	974
469	862	972
470	863	970
471	865	967
472	866	965
473	867	963
474	869	960
475	870	958
476	871	956
477	873	954
478	874	951
479	875	948
480	877	946
481	878	943
482	879	941
483	880	939
484	882	936
485	883	934
486	884	932
487	886	929
488	887	927
489	888	924
490	889	922
491	891	920
492	892	917
493	893	915
494	894	912
495	895	910
496	897	907
497	898	905
498	899	903
499	900	900
500	901	898
501	902	895
502	904	893
503	905	891
504	906	888
505	907	886
506	909	884
507	910	881
508	912	879
509	913	877
510	915	875
511	916	873
512	918	871
513	919	869
514	920	867
515	922	864
516	923	862
517	924	860
518	926	858
519	927	856
520	929	854
521	930	851
522	931	849
523	933	847
524	934	845
525	935	843
526	937	841
527	938	839
528	939	836
529	941	834
530	942	832
531	943	830
532	944	827
533	946	825
534	947	823
535	948	821
536	950	819
537	951	817
538	953	815
539	954	813
540	956	811
541	957	808
542	958	806
543	959	804
544	961	802
545	962	800
546	963	798
547	965	795
548	966	794
549	968	792
550	969	790
551	971	788
552	973	786
553	974	784
554	975	782
555	977	780
556	978	778
557	980	776
558	981	774
559	983	772
560	984	770
561	986	768
562	987	766
563	989	764
564	990	762
565	992	760
566	993	758
567	995	756
568	996	754
569	997	752
570	999	750
571	1000	748
572	1002	747
573	1003	744
574	1005	742
575	1007	741
576	1008	739
577	1011	738
578	1013	736
579	1014	734
580	1016	732
581	1017	730
582	1018	728
583	1020	726
584	1021	724
585	1023	722
586	1024	721
587	1026	719
588	1027	717
589	1029	715
590	1030	713
591	1032	711
592	1033	709
593	1035	707
594	1036	705
595	1037	703
596	1039	701
597	1040	699
598	1041	697
599	1042	695
600	1043	693
601	1044	690
602	1045	688
603	1047	686
604	1048	684
605	1049	682
606	1051	680
607	1053	678
608	1054	676
609	1055	674
610	1056	672
611	1058	670
612	1059	668
613	1060	666
614	1061	664
615	1063	662
616	1064	661
617	1066	659
618	1067	657
619	1068	655
620	1070	653
621	1071	651
622	1073	649
623	1074	647
624	1075	645
625	1077	643
626	1078	641
627	1079	639
628	1080	637
629	1081	635
630	1083	633
631	1084	631
632	1085	629
633	1087	627
634	1088	625
635	1089	623
636	1090	621
637	1092	619
638	1093	617
639	1094	615
640	1096	614
641	1097	612
642	1099	610
643	1100	608
644	1101	606
645	1103	604
646	1104	602
647	1105	600
648	1107	598
649	1108	596
650	1109	594
651	1111	593
652	1112	591
653	1114	589
654	1115	587
655	1116	585
656	1117	583
657	1118	581
658	1119	579
659	1121	577
660	1122	575
661	1123	573
662	1125	571
663	1126	569
664	1127	568
665	1129	566
666	1130	564
667	1132	562
668	1133	560
669	1134	558
670	1136	557
671	1137	555
672	1138	553
673	1140	551
674	1141	549
675	1143	547
676	1144	545
677	1145	544
678	1146	542
679	1148	540
680	1149	538
681	1150	536
682	1151	534
683	1153	532
684	1154	530
685	1155	529
686	1157	527
687	1158	525
688	1160	523
689	1161	521
690	1162	519
691	1164	518
692	1165	516
693	1167	514
694	1168	512
695	1169	510
696	1170	508
697	1172	507
698	1173	505
699	1174	503
700	1175	501
701	1176	499
702	1178	497
703	1179	495
704	1180	493
705	1181	491
706	1182	490
707	1183	488
708	1185	486
709	1186	484
710	1187	482
711	1188	480
712	1189	478
713	1191	477
714	1192	475
715	1194	473
716	1195	471
717	1196	470
718	1198	468
719	1199	466
720	1200	464
721	1202	462
722	1203	461
723	1204	459
724	1206	457
725	1207	455
726	1208	453
727	1210	452
728	1211	450
729	1212	448
730	1213	446
731	1215	445
732	1216	443
733	1218	441
734	1219	439
735	1221	438
736	1222	436
737	1223	434
738	1224	432
739	1226	430
740	1227	429
741	1228	427
742	1229	425
743	1231	423
744	1232	421
745	1233	420
746	1235	418
747	1237	416
748	1238	415
749	1240	413
750	1241	411
751	1242	409
752	1244	408
753	1245	406
754	1246	404
755	1247	402
756	1248	400
757	1250	399
758	1251	397
759	1252	395
760	1254	393
761	1256	392
762	1257	390
763	1259	389
764	1261	387
765	1262	385
766	1264	384
767	1265	382
768	1266	380
769	1268	378
770	1269	377
771	1270	375
772	1271	373
773	1273	371
774	1274	369
775	1275	368
776	1276	366
777	1278	364
778	1279	363
779	1280	361
780	1282	359
781	1283	357
782	1284	355
783	1286	354
784	1287	352
785	1288	350
786	1290	349
787	1291	347
788	1292	345
789	1294	344
790	1295	342
791	1296	340
792	1297	338
793	1299	337
794	1300	335
795	1301	333
796	1303	331
797	1304	330
798	1305	328
799	1306	326
800	1308	324
801	1309	323
802	1310	321
803	1311	319
804	1313	318
805	1314	316
806	1316	314
807	1317	313
808	1318	311
809	1320	309
810	1321	307
811	1322	306
812	1324	304
813	1325	302
814	1327	301
815	1329	299
816	1331	298
817	1332	296
818	1333	294
819	1335	293
820	1336	291
821	1337	289
822	1338	287
823	1340	286
824	1341	284
825	1342	282
826	1343	281
827	1345	279
828	1346	277
829	1347	276
830	1348	274
831	1350	272
832	1352	271
833	1354	269
834	1355	267
835	1357	266
836	1358	264
837	1359	262
838	1361	261
839	1362	259
840	1363	257
841	1365	256
842	1366	254
843	1367	252
844	1369	251
845	1370	249
846	1371	247
847	1372	246
848	1373	244
849	1375	242
850	1376	241
851	1377	239
852	1379	237
853	1380	235
854	1381	234
855	1383	232
856	1385	231
857	1386	229
858	1390	228
859	1393	226
860	1397	225
861	1400	224
862	1403	222
863	1406	221
864	1408	219
865	1410	218
866	1411	216
867	1413	214
868	1415	213
869	1417	211
870	1418	210
871	1420	208
872	1422	206
873	1423	205
874	1426	203
875	1430	202
876	1436	201
877	1440	200
878	1443	198
879	1446	197
880	1449	195
881	1452	194
882	1454	192
883	1455	191
884	1457	189
885	1459	187
886	1460	186
887	1463	184
888	1464	182
889	1466	181
890	1467	179
891	1470	178
892	1472	176
893	1474	174
894	1476	173
895	1479	171
896	1481	170
897	1484	168
898	1486	166
899	1488	165
900	1489	163
901	1491	162
902	1493	160
903	1494	158
904	1496	157
905	1498	155
906	1501	153
907	1503	152
908	1505	150
909	1506	149
910	1508	147
911	1510	145
912	1512	144
913	1513	142
914	1515	140
915	1517	139
916	1519	137
917	1520	135
918	1522	134
919	1524	132
920	1525	130
921	1527	129
922	1528	127
923	1530	125
924	1531	124
925	1533	122
926	1535	120
927	1537	119
928	1539	117
929	1543	116
930	1547	114
931	1550	113
932	1551	111
933	1553	109
934	1554	108
935	1557	106
936	1561	104
937	1563	103
938	1564	101
939	1567	100
940	1568	98
941	1571	96
942	1573	95
943	1576	93
944	1577	91
945	1579	90
946	1581	88
947	1582	86
948	1584	85
949	1585	83
950	1587	81
951	1589	80
952	1590	78
953	1592	76
954	1594	75
955	1596	73
956	1597	71
957	1598	70
958	1600	68
959	1601	66
960	1603	65
961	1604	63
962	1605	61
963	1607	60
964	1608	58
965	1609	56
966	1611	54
967	1612	53
968	1614	51
969	1615	49
970	1617	48
971	1618	46
972	1619	44
973	1621	43
974	1622	41
975	1624	39
976	1626	38
977	1627	36
978	1629	34
979	1630	33
980	1631	31
981	1633	29
982	1634	28
983	1636	26
984	1637	24
985	1638	23
986	1639	21
987	1641	19
988	1642	18
989	1643	16
990	1645	14
991	1646	13
992	1647	11
993	1649	9
994	1650	8
995	1652	6
996	1653	4
997	1654	3
998	1656	1
999	1657	0
