iter	Passed	Remaining
0	162	161865
1	163	81618
2	165	54880
3	166	41454
4	168	33494
5	169	28128
6	171	24308
7	172	21401
8	173	19156
9	176	17448
10	177	15964
11	178	14731
12	180	13678
13	181	12788
14	182	12007
15	184	11357
16	185	10743
17	187	10204
18	188	9735
19	190	9326
20	191	8931
21	193	8583
22	194	8252
23	195	7956
24	196	7679
25	198	7422
26	199	7188
27	201	6978
28	202	6796
29	204	6616
30	205	6434
31	206	6261
32	208	6104
33	209	5964
34	211	5823
35	212	5688
36	213	5563
37	215	5452
38	217	5358
39	218	5255
40	220	5151
41	221	5055
42	222	4962
43	224	4872
44	225	4786
45	227	4713
46	228	4633
47	230	4567
48	233	4532
49	235	4471
50	236	4403
51	238	4342
52	239	4281
53	241	4222
54	242	4162
55	243	4109
56	245	4062
57	247	4017
58	248	3967
59	250	3919
60	251	3871
61	253	3831
62	254	3789
63	256	3756
64	258	3714
65	259	3675
66	261	3642
67	262	3601
68	264	3564
69	265	3528
70	267	3497
71	269	3468
72	270	3436
73	271	3403
74	273	3368
75	274	3336
76	276	3315
77	278	3287
78	279	3258
79	280	3228
80	282	3203
81	283	3179
82	285	3153
83	287	3130
84	289	3111
85	290	3091
86	292	3066
87	293	3042
88	294	3017
89	296	2994
90	297	2974
91	299	2955
92	301	2937
93	302	2915
94	304	2897
95	306	2885
96	307	2864
97	309	2849
98	311	2830
99	313	2819
100	315	2805
101	316	2787
102	318	2772
103	320	2759
104	321	2742
105	323	2726
106	324	2707
107	325	2691
108	327	2676
109	329	2666
110	330	2650
111	332	2634
112	334	2626
113	335	2610
114	337	2596
115	338	2580
116	339	2564
117	341	2552
118	343	2539
119	345	2533
120	346	2519
121	350	2520
122	351	2508
123	353	2494
124	354	2480
125	355	2466
126	356	2452
127	358	2443
128	360	2434
129	361	2422
130	364	2416
131	366	2410
132	368	2404
133	370	2393
134	372	2383
135	374	2378
136	377	2374
137	380	2375
138	382	2368
139	384	2359
140	385	2349
141	387	2343
142	390	2338
143	394	2342
144	396	2336
145	398	2328
146	400	2321
147	401	2313
148	404	2310
149	408	2314
150	410	2309
151	412	2303
152	414	2295
153	416	2286
154	418	2280
155	420	2272
156	424	2277
157	426	2271
158	428	2265
159	430	2258
160	431	2247
161	432	2239
162	435	2237
163	441	2250
164	443	2243
165	444	2235
166	446	2226
167	448	2219
168	450	2214
169	453	2215
170	457	2216
171	459	2211
172	460	2203
173	463	2200
174	467	2202
175	469	2200
176	471	2191
177	472	2183
178	474	2175
179	475	2166
180	477	2161
181	479	2156
182	484	2161
183	486	2156
184	487	2148
185	489	2140
186	490	2133
187	493	2132
188	498	2138
189	499	2131
190	501	2123
191	502	2115
192	504	2108
193	505	2101
194	507	2094
195	509	2090
196	511	2086
197	513	2081
198	515	2075
199	517	2070
200	519	2064
201	520	2057
202	522	2050
203	523	2043
204	526	2042
205	528	2037
206	529	2030
207	531	2023
208	533	2017
209	535	2013
210	538	2014
211	542	2015
212	543	2009
213	545	2003
214	547	1997
215	549	1993
216	553	1996
217	554	1990
218	558	1991
219	559	1984
220	563	1984
221	566	1983
222	568	1980
223	570	1975
224	572	1970
225	574	1967
226	577	1965
227	578	1959
228	580	1953
229	582	1950
230	584	1945
231	589	1950
232	591	1946
233	592	1940
234	594	1934
235	595	1928
236	597	1922
237	598	1917
238	602	1919
239	605	1917
240	607	1912
241	608	1906
242	610	1901
243	611	1894
244	612	1889
245	614	1883
246	618	1885
247	620	1882
248	622	1876
249	623	1870
250	625	1865
251	626	1859
252	628	1854
253	629	1849
254	632	1849
255	635	1846
256	637	1842
257	638	1837
258	641	1833
259	642	1828
260	644	1823
261	647	1824
262	650	1822
263	651	1817
264	653	1812
265	654	1807
266	656	1801
267	657	1796
268	659	1791
269	661	1789
270	664	1786
271	665	1781
272	666	1775
273	667	1769
274	669	1765
275	671	1760
276	672	1756
277	675	1754
278	677	1750
279	679	1747
280	680	1741
281	682	1736
282	683	1731
283	684	1726
284	686	1721
285	689	1720
286	691	1717
287	692	1712
288	694	1708
289	697	1707
290	698	1702
291	700	1698
292	702	1694
293	704	1692
294	706	1688
295	708	1684
296	709	1679
297	711	1675
298	712	1670
299	713	1665
300	715	1661
301	716	1656
302	719	1654
303	720	1650
304	722	1646
305	724	1642
306	725	1637
307	726	1632
308	728	1628
309	729	1623
310	730	1619
311	732	1615
312	734	1613
313	736	1609
314	737	1604
315	739	1601
316	741	1598
317	743	1594
318	744	1590
319	746	1586
320	748	1583
321	750	1580
322	751	1575
323	753	1571
324	754	1567
325	756	1563
326	758	1560
327	759	1556
328	761	1552
329	763	1550
330	765	1546
331	766	1543
332	768	1538
333	769	1535
334	771	1531
335	772	1526
336	774	1523
337	776	1521
338	779	1519
339	780	1515
340	782	1511
341	783	1507
342	785	1505
343	787	1501
344	788	1497
345	790	1493
346	792	1490
347	794	1488
348	795	1484
349	797	1480
350	798	1476
351	800	1472
352	801	1469
353	802	1465
354	804	1461
355	805	1457
356	809	1457
357	810	1454
358	813	1451
359	814	1448
360	816	1445
361	818	1442
362	819	1438
363	823	1438
364	824	1434
365	826	1431
366	827	1427
367	829	1424
368	831	1421
369	833	1418
370	834	1415
371	837	1414
372	839	1410
373	840	1407
374	842	1403
375	843	1400
376	845	1396
377	847	1393
378	848	1390
379	850	1387
380	852	1385
381	854	1382
382	856	1380
383	858	1377
384	860	1374
385	862	1371
386	863	1368
387	865	1365
388	867	1363
389	869	1359
390	870	1356
391	872	1352
392	874	1350
393	875	1346
394	877	1343
395	878	1340
396	880	1337
397	883	1335
398	884	1332
399	886	1329
400	887	1325
401	888	1322
402	890	1319
403	891	1315
404	893	1312
405	894	1308
406	896	1306
407	898	1303
408	899	1300
409	901	1296
410	902	1293
411	903	1289
412	904	1286
413	906	1283
414	907	1279
415	910	1278
416	912	1276
417	915	1274
418	916	1270
419	918	1267
420	920	1266
421	921	1262
422	923	1259
423	925	1257
424	928	1255
425	929	1252
426	930	1249
427	932	1246
428	934	1243
429	935	1240
430	936	1236
431	938	1233
432	940	1231
433	942	1229
434	944	1226
435	945	1223
436	947	1220
437	949	1217
438	950	1214
439	952	1211
440	953	1209
441	957	1208
442	959	1206
443	960	1202
444	961	1199
445	963	1197
446	966	1195
447	968	1193
448	973	1194
449	974	1191
450	976	1188
451	978	1185
452	979	1182
453	981	1180
454	983	1177
455	985	1175
456	987	1172
457	988	1170
458	991	1168
459	993	1166
460	994	1163
461	996	1160
462	998	1157
463	1002	1157
464	1004	1155
465	1005	1152
466	1007	1150
467	1009	1147
468	1012	1146
469	1019	1149
470	1021	1147
471	1023	1144
472	1025	1142
473	1028	1141
474	1032	1140
475	1034	1139
476	1037	1137
477	1040	1136
478	1042	1133
479	1043	1130
480	1045	1128
481	1047	1126
482	1049	1123
483	1053	1123
484	1055	1120
485	1060	1121
486	1062	1118
487	1063	1116
488	1065	1113
489	1068	1111
490	1070	1109
491	1074	1109
492	1077	1108
493	1080	1106
494	1083	1104
495	1084	1101
496	1087	1100
497	1089	1098
498	1091	1095
499	1092	1092
500	1094	1089
501	1098	1089
502	1099	1086
503	1102	1084
504	1104	1082
505	1106	1079
506	1107	1077
507	1109	1074
508	1114	1074
509	1119	1075
510	1120	1072
511	1123	1070
512	1124	1067
513	1126	1064
514	1128	1063
515	1135	1064
516	1137	1062
517	1138	1059
518	1140	1057
519	1144	1056
520	1146	1054
521	1149	1052
522	1151	1050
523	1152	1047
524	1154	1044
525	1159	1044
526	1161	1042
527	1164	1040
528	1166	1038
529	1168	1036
530	1170	1034
531	1173	1032
532	1177	1031
533	1179	1029
534	1181	1027
535	1183	1024
536	1186	1023
537	1189	1021
538	1193	1021
539	1195	1018
540	1197	1015
541	1198	1013
542	1200	1010
543	1202	1008
544	1205	1006
545	1207	1004
546	1210	1002
547	1212	1000
548	1214	997
549	1217	996
550	1221	995
551	1224	994
552	1227	992
553	1229	989
554	1231	987
555	1233	985
556	1237	984
557	1240	982
558	1242	979
559	1244	977
560	1249	977
561	1254	977
562	1256	975
563	1258	973
564	1260	970
565	1262	968
566	1265	966
567	1268	964
568	1272	964
569	1274	961
570	1276	958
571	1278	956
572	1283	956
573	1286	954
574	1288	952
575	1290	949
576	1291	946
577	1293	944
578	1308	951
579	1309	948
580	1311	945
581	1314	944
582	1316	941
583	1317	938
584	1319	935
585	1322	934
586	1324	931
587	1326	929
588	1329	927
589	1330	924
590	1332	922
591	1333	919
592	1335	916
593	1339	915
594	1341	912
595	1343	910
596	1345	908
597	1348	906
598	1350	904
599	1352	901
600	1354	899
601	1356	897
602	1359	895
603	1361	892
604	1362	889
605	1364	887
606	1365	884
607	1367	881
608	1368	878
609	1370	876
610	1373	874
611	1375	871
612	1376	869
613	1378	866
614	1379	863
615	1381	861
616	1383	858
617	1384	855
618	1386	853
619	1389	851
620	1391	848
621	1393	846
622	1395	844
623	1396	841
624	1398	839
625	1400	836
626	1402	834
627	1404	831
628	1405	829
629	1407	826
630	1409	823
631	1410	821
632	1411	818
633	1413	816
634	1414	813
635	1416	810
636	1419	808
637	1420	805
638	1422	803
639	1423	800
640	1424	797
641	1426	795
642	1427	792
643	1428	789
644	1430	787
645	1433	785
646	1435	783
647	1437	780
648	1438	778
649	1439	775
650	1441	772
651	1443	770
652	1444	767
653	1446	765
654	1448	763
655	1450	760
656	1452	758
657	1453	755
658	1455	752
659	1456	750
660	1458	747
661	1459	745
662	1461	742
663	1464	740
664	1465	738
665	1467	735
666	1468	733
667	1470	730
668	1471	728
669	1473	725
670	1474	723
671	1477	721
672	1479	718
673	1481	716
674	1482	714
675	1485	711
676	1487	709
677	1488	706
678	1489	704
679	1491	702
680	1493	699
681	1495	697
682	1496	694
683	1497	692
684	1499	689
685	1501	687
686	1502	684
687	1503	682
688	1506	679
689	1508	677
690	1510	675
691	1511	672
692	1513	670
693	1514	667
694	1516	665
695	1518	663
696	1520	660
697	1522	658
698	1523	656
699	1525	653
700	1527	651
701	1529	649
702	1530	646
703	1532	644
704	1533	641
705	1535	639
706	1537	637
707	1539	634
708	1540	632
709	1541	629
710	1543	627
711	1544	624
712	1546	622
713	1547	619
714	1549	617
715	1551	615
716	1553	613
717	1555	610
718	1556	608
719	1558	605
720	1559	603
721	1561	601
722	1563	598
723	1564	596
724	1567	594
725	1568	592
726	1570	589
727	1572	587
728	1574	585
729	1575	582
730	1576	580
731	1578	577
732	1580	575
733	1582	573
734	1584	571
735	1586	568
736	1587	566
737	1589	564
738	1591	561
739	1593	559
740	1594	557
741	1598	555
742	1600	553
743	1602	551
744	1604	549
745	1606	546
746	1608	544
747	1610	542
748	1612	540
749	1613	537
750	1615	535
751	1617	533
752	1619	531
753	1620	528
754	1622	526
755	1623	524
756	1626	522
757	1628	519
758	1630	517
759	1631	515
760	1633	513
761	1634	510
762	1636	508
763	1638	506
764	1640	503
765	1642	501
766	1644	499
767	1645	497
768	1647	494
769	1648	492
770	1650	490
771	1652	488
772	1655	486
773	1656	483
774	1658	481
775	1660	479
776	1661	476
777	1663	474
778	1664	472
779	1666	469
780	1667	467
781	1671	465
782	1673	463
783	1675	461
784	1677	459
785	1679	457
786	1681	454
787	1682	452
788	1685	450
789	1688	448
790	1690	446
791	1691	444
792	1693	442
793	1694	439
794	1696	437
795	1699	435
796	1702	433
797	1705	431
798	1707	429
799	1708	427
800	1710	424
801	1712	422
802	1715	420
803	1717	418
804	1719	416
805	1721	414
806	1723	412
807	1724	409
808	1727	407
809	1731	406
810	1733	403
811	1734	401
812	1736	399
813	1738	397
814	1739	394
815	1741	392
816	1743	390
817	1746	388
818	1747	386
819	1749	383
820	1751	381
821	1752	379
822	1754	377
823	1755	375
824	1757	372
825	1761	370
826	1762	368
827	1764	366
828	1766	364
829	1769	362
830	1771	360
831	1773	358
832	1777	356
833	1778	354
834	1780	351
835	1782	349
836	1784	347
837	1785	345
838	1787	342
839	1789	340
840	1791	338
841	1793	336
842	1794	334
843	1796	331
844	1797	329
845	1799	327
846	1801	325
847	1802	323
848	1805	321
849	1807	319
850	1809	316
851	1810	314
852	1812	312
853	1813	310
854	1815	307
855	1817	305
856	1819	303
857	1821	301
858	1823	299
859	1824	297
860	1827	294
861	1828	292
862	1830	290
863	1831	288
864	1834	286
865	1836	284
866	1837	281
867	1840	279
868	1842	277
869	1843	275
870	1845	273
871	1847	271
872	1850	269
873	1852	267
874	1854	264
875	1857	262
876	1858	260
877	1860	258
878	1863	256
879	1865	254
880	1867	252
881	1868	250
882	1870	247
883	1871	245
884	1873	243
885	1875	241
886	1877	239
887	1879	237
888	1881	234
889	1882	232
890	1884	230
891	1886	228
892	1888	226
893	1890	224
894	1892	222
895	1895	219
896	1896	217
897	1898	215
898	1900	213
899	1902	211
900	1905	209
901	1907	207
902	1909	205
903	1911	202
904	1913	200
905	1915	198
906	1917	196
907	1919	194
908	1922	192
909	1924	190
910	1926	188
911	1928	186
912	1929	183
913	1931	181
914	1933	179
915	1935	177
916	1940	175
917	1942	173
918	1943	171
919	1946	169
920	1948	167
921	1949	164
922	1952	162
923	1955	160
924	1957	158
925	1960	156
926	1962	154
927	1964	152
928	1966	150
929	1968	148
930	1970	146
931	1972	143
932	1973	141
933	1975	139
934	1977	137
935	1979	135
936	1983	133
937	1985	131
938	1986	129
939	1988	126
940	1989	124
941	1991	122
942	1993	120
943	1994	118
944	1998	116
945	2000	114
946	2002	112
947	2003	109
948	2004	107
949	2006	105
950	2008	103
951	2009	101
952	2012	99
953	2014	97
954	2016	94
955	2017	92
956	2019	90
957	2021	88
958	2023	86
959	2025	84
960	2028	82
961	2029	80
962	2031	78
963	2032	75
964	2034	73
965	2037	71
966	2038	69
967	2040	67
968	2042	65
969	2044	63
970	2047	61
971	2048	59
972	2051	56
973	2052	54
974	2054	52
975	2057	50
976	2059	48
977	2061	46
978	2063	44
979	2065	42
980	2066	40
981	2068	37
982	2069	35
983	2073	33
984	2075	31
985	2077	29
986	2078	27
987	2080	25
988	2081	23
989	2083	21
990	2085	18
